title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
bboom bboom,momoland,123.046875,0.0117038786945983,0.098149356,0.051742237,0.092304955,3.142026135,0.215412466,0.206504394,0.888424073,1.642657342,0.117082563,-0.002932879,0.044299291,0.518711132,0.016470192,0.105779233,0.007106773,0.053210488,0.008982036,0.033305769,0.083389729,1.515072008,0.482015773,0.23825907,0.047649223,0.610791692,0.007456924,0.019172716,3,6
because i miss you,kyuhyun,73.828125,0.0233791552926723,0.044700971,0.027620886,0.054597166,3.180932626,0.144068309,0.196944431,0.261001027,2.772619589,-0.054512596,-0.104021948,0.042124421,0.242898174,0.027976383,0.03111828,0.007710967,0.028607816,0.008040202,0.011183755,0.030787252,0.784938085,0.316510466,0.214453638,0.041958122,0.229367416,0.006445603,0.032287535,6,4
because of you,kelly clarkson,69.83741554054055,-0.0225116763384128,0.055809037,0.023866754,0.055538141,3.214496966,0.142377684,0.178878158,0.391883873,1.937566293,-0.070917444,-0.074459439,0.030771608,0.215108447,0.02109624,0.023421707,0.008745787,0.024547996,0.007497231,0.010343884,0.03948751,0.794822737,0.314336787,0.216560931,0.02980315,0.201978746,0.006482439,0.024428697,6,5
beggin on your knees,victoria justice,129.19921875,-0.0163321538444497,0.079561972,0.032832553,0.102928955,3.226773493,0.185206092,0.199229792,0.678989344,1.116223562,0.047016931,0.118265869,0.035118063,0.327003839,0.020970706,0.076687535,0.008561386,0.035218616,0.006093683,0.021133829,0.048838661,1.063013881,0.410542353,0.236589145,0.038547206,0.340633125,0.004187147,0.025227097,3,6
between,yesung,99.38401442307692,-0.0091418918278771,0.071059366,0.038070724,0.097500803,3.155198148,0.188612022,0.214375374,0.524585332,2.106411046,0.12940966,0.219753942,0.046698327,0.349051227,0.023626658,0.055606563,0.004017937,0.038455818,0.01554034,0.015470708,0.054938053,1.049571166,0.367011903,0.232590885,0.04604546,0.33833964,0.007031844,0.026937574,2,5
bie qing yi shuo ai,cheng xin,117.45383522727272,-0.0077907196889541,0.05782045,0.027221909,0.053253354,3.212996933,0.128802999,0.162153178,0.472908099,1.963262028,0.087685433,0.095305139,0.032584357,0.299982588,0.024515855,0.044268606,0.00447433,0.033280469,0.008971981,0.013874092,0.032829092,0.814072497,0.33559092,0.215626451,0.031468386,0.264199461,0.006853112,0.030695612,6,5
body language,jesse mccartney,161.4990234375,-0.0288055314005217,0.064025635,0.030102729,0.093508786,3.172463783,0.163866985,0.186128245,0.567818976,1.210657681,-0.014793987,0.243487439,0.030639593,0.321384289,0.016265494,0.069833273,0.00242556,0.04760178,0.005095276,0.019645791,0.068256129,1.263865522,0.422198029,0.255623814,0.032009434,0.328717764,0.006427777,0.018915661,2,6
boys and girls,lmc,95.703125,-0.0138076903541196,0.100462795,0.028199949,0.109305743,3.207962744,0.194048687,0.196648965,1.078739013,1.271668582,0.400206101,0.220743849,0.025018692,0.29306159,0.016533656,0.048002939,0.003895712,0.033969383,0.004039237,0.014910445,0.051586741,0.842689481,0.323257473,0.224926164,0.024510516,0.313142038,0.002247993,0.017973624,3,6
cassandra,two steps from hell,117.45383522727272,-0.0173183053286727,0.031839692,0.006380612,0.030096675,3.226739321,0.087750252,0.146135029,0.151497092,2.32338134,-0.232480514,0.021272929,0.017598728,0.053240633,0.028675398,0.015024166,0.009682359,0.016192053,0.006178308,0.006388307,0.00691952,0.529997332,0.237168151,0.181057376,0.021175481,0.046981924,0.004047446,0.036502012,1,6
celestial spirit leo,takanashi yasuharu,86.1328125,0.0109553187548192,0.08720664,0.025732349,0.081191564,3.149421214,0.174739519,0.180912475,0.879017893,1.252510641,0.360845238,0.359966083,0.026552083,0.276680133,0.0169866,0.045061541,0.004616779,0.055506907,0.003251863,0.015559875,0.038977092,0.676760189,0.245099916,0.189157013,0.026500141,0.291009618,0.004047845,0.019729653,1,6
