title,artist,tempo,chroma_number,zero_crossing_rate,energy_entropy,spectral_centroid,primary,secondary
a new adventure,takanashi yasuharu,117.45383522727272,-0.0106350530967013,0.0820142538949253,3.164051107668614,0.1860618628166503,1,6
a oh,super junior,129.19921875,-0.005782174978379,0.0780387666508951,3.2133858180371,0.1794585457978967,3,2
a thousand years,christina perri,92.28515625,-0.0163207458611544,0.0446165179917015,3.2179028151126907,0.1222031044215321,6,5
adore u,seventeen,103.359375,-0.0077445566646183,0.0581253578811494,3.142737782997098,0.1456597077532997,3,2
after rain,aimer,117.45383522727272,-0.010324108943978,0.0686198174153906,3.2117939490211413,0.1479821094356131,2,5
ai no katachi,tachibana keita,103.359375,-0.0122162922063681,0.0507142706405146,3.123391436592675,0.1313739866192358,5,6
ai xiao de yan jing,jj lin,66.25600961538461,-0.0120039807700577,0.0444491587103091,3.1952444854799955,0.1347351244963176,4,6
all my heart,super junior,95.703125,-0.018274428154324,0.0642436843725693,3.1767750817775218,0.1643772702059359,2,5
"alliance force, assemble",takanashi yasuharu,95.703125,0.0077075138825947,0.0604719690472866,3.1653408351477577,0.1471063104941455,1,6
alone,toshiro masuda,80.74951171875,-0.00677337668631,0.0406189981146371,3.2369863783284725,0.1047267125822467,4,6
am,one direction,143.5546875,-0.0114132067639699,0.0549788488425201,3.2195112489269846,0.1297890036811148,5,4
angela,super junior,107.666015625,-0.0011145003684199,0.076121785047444,3.1834146069960383,0.174101005188294,2,6
"baby, don't cry",exo,69.83741554054055,-0.0111283205926404,0.0538170284627141,3.185847252657137,0.136685873241998,2,4
bad things,"camila cabello, machine gun kelly",135.99917763157896,0.0134760581891785,0.0401230716878402,3.1679895346132554,0.123837290666377,5,6
battleborne,two steps from hell,151.99908088235293,0.0070163011562548,0.034484329711023,3.23568449157193,0.0958205189946149,1,6
bboom bboom,momoland,123.046875,0.0117038786945983,0.0981493556084377,3.14202613549704,0.2154124658496765,3,6
because i miss you,kyuhyun,73.828125,0.0233791552926723,0.0447009710394465,3.1809326262632887,0.144068309402387,6,4
because of you,kelly clarkson,69.83741554054055,-0.0225116763384128,0.0558090369444058,3.214496966239344,0.1423776840451067,6,5
beggin on your knees,victoria justice,129.19921875,-0.0163321538444497,0.0795619720652171,3.226773493420169,0.1852060920374289,3,6
between,yesung,99.38401442307692,-0.0091418918278771,0.0710593664927404,3.155198148039979,0.1886120221615236,2,5
bie qing yi shuo ai,cheng xin,117.45383522727272,-0.0077907196889541,0.0578204495316919,3.212996932937341,0.1288029985335583,6,5
body language,jesse mccartney,161.4990234375,-0.0288055314005217,0.0640256352087114,3.172463782502048,0.1638669848207751,2,6
boys and girls,lmc,95.703125,-0.0138076903541196,0.1004627949183303,3.207962743949858,0.1940486865635056,3,6
cassandra,two steps from hell,117.45383522727272,-0.0173183053286727,0.0318396919769202,3.226739321198466,0.0877502522517216,1,6
celestial spirit leo,takanashi yasuharu,86.1328125,0.0109553187548192,0.0872066402515897,3.149421213710744,0.1747395188511807,1,6
city,yamagami takeshi,107.666015625,0.035979012349783,0.0278927677680284,3.1924016863262703,0.0766301257466093,4,2
cobra's poison,takanashi yasuharu,99.38401442307692,-0.0202146451299297,0.0806672805238247,3.155232653951954,0.1669211739797236,1,6
core pride,uverworld,92.28515625,-0.0091569241336766,0.0774733922818272,3.204867080442748,0.1742506739241133,3,6
cosmic,"ryeowook, bada",184.5703125,-0.010644271194367,0.0686156323751999,3.2498140646865736,0.1538891162426088,2,5
count on you,"jordin sparks, big time rush",92.28515625,0.0046978567323165,0.0719444077308634,3.161443022864154,0.1772513951950711,2,5
crimson lotus,takanashi yasuharu,151.99908088235293,0.0025502426028919,0.0765647387525073,3.090159274349084,0.1747997982296844,1,6
daisy,stereo dive foundation,184.5703125,-0.0083292084662489,0.0432879009664879,3.2080944626328334,0.1072827013066143,5,6
dawn star and boy's song,sereno,95.703125,0.016556398748708,0.0426909750866193,3.1934618571983164,0.1010882539898496,2,6
deng ni,a lin,129.19921875,-0.0124413926827661,0.0382224052041555,3.19702463634152,0.1073445767284455,4,6
destiny of love,yiruma,135.99917763157896,0.0274806317561291,0.0403436787426125,3.213908230133701,0.1003325499415394,4,2
dive to world,cherryblossom,143.5546875,-0.0026659227607203,0.0769291970755943,3.196291707185033,0.164416145253298,3,2
do you hear what i hear,carrie underwood,78.30255681818181,-0.0175520178536419,0.0461566147876206,3.2415148554953084,0.1176680072958624,4,2
does he know,one direction,135.99917763157896,-0.0043407849945106,0.0741636418632789,3.204369929440277,0.1750715915161957,3,2
don't stop,5 seconds of summer,151.99908088235293,-0.0043064643155021,0.0663301133246106,3.136388426372289,0.1360141813714249,3,2
don't wake me,skillet,129.19921875,-0.026367050175055,0.0667830446953151,3.1964144105035266,0.1485048531094211,6,5
dorothy,super junior,143.5546875,-0.0126954223947252,0.0505504798438101,3.1961238383586617,0.1340493123771392,6,4
down,jay sean,66.25600961538461,0.0088640351626357,0.0577757683426633,3.1112335787748657,0.1553115803118731,5,2
dragon cry,takanashi yasuharu,95.703125,-0.0150232715561287,0.063016642125809,3.0989478191576643,0.15233235291817,1,6
dragon fight,takanashi yasuharu,89.10290948275862,-0.0130995279256212,0.0713740925589836,3.072343438427636,0.1759055950690487,1,6
dragon rider,two steps from hell,161.4990234375,-0.0003719003347416,0.0700149414856999,3.087231833887061,0.1812536852831865,1,6
dragon slayer,takanashi yasuharu,73.828125,0.0325326697030422,0.0678469071385359,3.177231178245066,0.1506292577160067,1,6
dreamer,super junior,95.703125,0.0079707745117584,0.0397190426275941,3.156024059213145,0.1274787224637087,5,4
dynamite,taio cruz,117.45383522727272,0.0281468978187383,0.0558935847478737,3.1037058139039644,0.1542846143880381,3,6
everytime we touch,cascada,143.5546875,-0.0086481619756295,0.0812332445852948,3.200556397762196,0.1978783734159861,3,6
fade,alan walker,89.10290948275862,0.0053381107100135,0.0523729555258496,3.085867921980713,0.1530721369546274,3,5
faded,alan walker,89.10290948275862,0.0068921785549815,0.062810296837917,3.201882085265527,0.1543983608821041,5,3
fairy tail rising,takanashi yasuharu,112.34714673913044,-0.0299979543906778,0.0672889995258416,3.087336869768735,0.1615545598048167,1,6
festival,yamagami takeshi,107.666015625,-0.0196751534081928,0.0287679823977464,3.204453779236282,0.0771165263341022,4,6
fight song,rachel platten,172.265625,-0.0038128559301508,0.067355288979387,3.1385265923293133,0.1616513058519592,6,1
flight of the silverbird,two steps from hell,135.99917763157896,-0.0082000779145096,0.0431257062630551,3.1769205490844987,0.1110847773774577,1,6
flower dance,dj okawari,99.38401442307692,0.0233002392695015,0.0534788341513609,3.1926834306413263,0.1310535200714926,2,5
fo xi shao nu,feng ti mo,129.19921875,-0.0012236183198013,0.0515611689321826,3.1378807556365875,0.1373487052196362,2,3
for the win,two steps from hell,117.45383522727272,-0.0178634950117245,0.0545818345793844,3.211475031207287,0.1261624177965861,1,6
gang hao yu jian ni,li yu gang,78.30255681818181,-0.0055521094200982,0.0517454147561484,3.191387256392358,0.138470954700054,5,6
glass heart,jason chen,117.45383522727272,-0.0130935853691956,0.0458662452533844,3.1815884575381883,0.137445462348597,2,5
gold,britt nicole,95.703125,-0.0145993033538356,0.0930279682283614,3.1964470443080195,0.1949945958227658,3,2
gotta be somebody,nickelback,117.45383522727272,-0.0188318764159078,0.0655233388090643,3.1736108162863257,0.145669961537418,1,3
